<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,430
GAZP,0,20230310,095951,160.500000000,110
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,160
GAZP,0,20230310,095951,160.500000000,140
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,400
GAZP,0,20230310,095951,160.500000000,1460
GAZP,0,20230310,095951,160.500000000,400
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,630
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,40
GAZP,0,20230310,095951,160.500000000,1060
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,530
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,60
GAZP,0,20230310,095951,160.500000000,120
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,1080
GAZP,0,20230310,095951,160.500000000,40
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,3380
GAZP,0,20230310,095951,160.500000000,330
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,140
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,90
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,60
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,40
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,380
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,90
GAZP,0,20230310,095951,160.500000000,5000
